tamanho_vetor,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
1923,34.557137267,20.385130967,70.412256333,0.787593133,0.703639600,69.556631567,0.428281500
3846,138.534143133,81.294954267,280.604418300,1.637479500,1.404277133,259.692740200,0.844554867
5769,312.950095200,180.723875867,632.111254333,2.491314700,2.264876900,586.331257167,1.287431867
7692,552.544563000,321.366732800,1122.371098567,3.331095633,3.032256567,1188.785107133,1.722498933
9615,868.059963233,502.314760700,1754.174421967,4.206030167,3.955255633,2219.452014800,2.154990200
11538,1233.449272767,722.648489533,2520.067374233,5.068355000,4.794227133,2418.837693367,2.559014767
13461,1680.927894100,981.524928533,3433.513028000,5.957389967,5.759128633,3513.871155333,2.973802300
15384,2200.212252300,1283.370425533,4493.127535067,6.757864800,6.385907500,5101.123023833,3.359617100
17307,2780.085527467,1623.907624367,5675.926785700,7.660740700,7.342568167,6550.148120900,3.776489633
19230,3440.921363700,2007.325775500,7012.113502567,8.557207933,8.457014133,7779.837184833,4.551638700
21153,4486.282869367,2424.992927267,8926.914161967,9.875200100,10.729610900,8864.825684800,4.909436300
23076,5365.522786100,2897.253376000,10832.443446333,10.826275467,10.411370967,13136.979835933,5.392325400
24999,6244.589256133,3385.154899833,12833.639388400,12.476967833,12.751500600,15261.955956467,6.157253400
26922,7493.428441500,3954.554492233,15550.374590700,14.775504767,14.837695033,16093.722215867,6.247942100
28845,8498.870123733,4521.663665667,16668.257184233,13.038490367,12.716011667,17621.061225233,6.312753967
30768,8735.884949767,5131.783977567,17889.600528967,13.890065000,13.790508200,23690.184943400,6.713383300
32691,9862.533327567,5789.105696333,20183.804031467,14.757442067,15.524328800,24848.661251433,7.140836700
34614,11073.701242300,6780.086900867,22624.448292267,15.743388767,16.497419533,23665.000006400,7.562038733
36537,12289.044383900,7809.308867633,25229.793113767,16.679024067,17.057297767,29889.818983033,7.968693767
38460,13663.826207167,8366.805597067,27922.914167400,17.549384567,17.784301300,35089.616416300,8.374924333
40383,15024.530551100,9041.609187333,30815.891311667,18.363457433,18.553216533,44475.433250900,8.798078600
42306,16547.321094400,9867.526931167,33757.533224167,19.328600633,20.207433700,34763.308509100,9.681114167
44229,18844.503436467,10975.125375767,39984.186749500,21.362708100,22.521285800,42319.453325167,10.787567200
46152,21529.948236667,11853.699203233,42037.335812833,22.190737467,23.539871267,61859.147670033,11.179961567
48075,23607.991002600,13292.952639300,44920.813898067,23.602435767,24.279884833,61512.710443500,11.611704400
49998,24516.052772333,13784.418414500,49610.400144333,24.147605533,24.859578700,54269.303330667,12.206227333
