tamanho_vetor,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
1923,68.386161533,26.020260500,77.166012900,0.651843167,22.196001467,1.063739533,0.416961467
3846,277.985768333,104.310762733,309.494307267,1.321844033,87.854122067,2.359708267,0.839031900
5769,616.316716467,236.542520033,699.269444167,1.985254933,201.265788433,3.773218067,1.261017633
7692,1105.042444333,421.477563700,1253.078702767,2.644212900,355.688238367,5.083026733,1.673868967
9615,1718.299399100,657.745402667,1974.278297533,3.334088167,567.120031400,6.840239800,2.097942500
11538,2494.901504833,948.232086600,2805.154144133,3.989733800,802.018672033,8.158980200,2.512586167
13461,3364.602948933,1293.627525000,3779.112296000,4.694375433,1077.482793267,9.762330567,2.928607833
15384,4379.517940167,1690.976581500,4935.750857867,5.343171433,1410.504196700,11.208913033,3.380574967
17307,5555.490799700,2139.332674700,6249.040134800,6.045182500,1778.395578733,13.058277167,3.755682033
19230,6847.711398300,2642.941326533,7741.499782933,6.757168200,2209.389423333,14.636096133,4.186185700
21153,8334.393327000,3193.318535167,9366.028998967,7.392162100,2651.091329100,15.834763567,4.592140167
23076,9849.571911133,3795.710059000,11180.695617133,8.062764800,3166.860093800,17.584419200,5.013114300
24999,11578.525085133,4461.205386667,13112.377482933,8.706963533,3705.621517167,23.942459533,9.269469433
26922,13455.940506000,5177.544309100,15126.469610600,9.532050667,4287.838891333,20.537520067,5.842749233
28845,15422.073419767,5941.764117700,17340.359944200,10.139157200,4915.415489667,22.593540233,6.354657800
30768,17519.436977133,6756.386606833,19770.391828233,10.800493300,5585.441374933,23.647882867,6.694260767
32691,19786.627305667,7627.976678400,22269.703574300,11.444465967,6300.424691467,25.510431100,7.125267533
34614,22165.710049367,8556.382420900,24961.932660533,12.184958000,7063.231266400,28.025836900,7.544096200
36537,24710.690312667,9544.259456567,27944.111241067,12.862242533,7947.924227633,29.589094100,7.938655767
38460,27521.793648300,10570.589325133,30827.907338300,13.575416967,8711.208303600,31.552048500,8.361211300
40383,30298.635351467,11648.020110433,34220.003684000,14.094646067,9624.155133967,33.237398933,8.770703167
42306,33209.401703533,12784.706930033,37291.688411900,14.830571500,10530.374977500,33.948031367,9.210405367
44229,36191.214651100,13982.709990700,40769.600205067,15.532420400,11504.792758333,35.760553667,9.655799067
46152,39403.335720400,15219.613007700,44484.997115633,16.198143967,12558.160628800,37.636628200,10.061291433
48075,42868.199842867,16508.622220833,48229.414693933,16.846987400,13581.371918100,39.245808667,10.492336667
49998,46241.559736467,17864.476669200,52262.768153067,17.559664433,14685.282711500,40.932554467,10.889347500
